total specific genes: 133

total NS genes: 133

#spec: number of specific genes that has the motif
%spec: percent of specific genes that has the motif
nonS: non-specific gene group 
ORI: over-representation index
Motif_ID	#spec	#nonS	%spec	%nonS	ratio	ORI	TF_Name	ENSEMBLE_ID	TF_ID	TF_Species	Family_Name	Family_ID	width
M03335_2.00	13	1	10.45	1.49	7.00	51.87	IRF8	ENSG00000140968	T244082_2.00	Homo_sapiens	IRF	F243_2.00	14
M03331_2.00	3	0	2.99	0.75	4.00	19.76	IRF3	ENSG00000126456	T244079_2.00	Homo_sapiens	IRF	F243_2.00	21
M03337_2.00	31	12	23.88	9.70	2.46	6.49	IRF7	ENSG00000185507	T244084_2.00	Homo_sapiens	IRF	F243_2.00	14
M03336_2.00	1	0	1.49	0.75	2.00	3.95	IRF8	ENSG00000140968	T244082_2.00	Homo_sapiens	IRF	F243_2.00	14
M03339_2.00	1	0	1.49	0.75	2.00	3.95	IRF9	ENSG00000213928	T244085_2.00	Homo_sapiens	IRF	F243_2.00	15
M03334_2.00	1	0	1.49	0.75	2.00	3.95	IRF4	ENSG00000137265	T244081_2.00	Homo_sapiens	IRF	F243_2.00	15
M03338_2.00	5	2	4.48	2.24	2.00	3.95	IRF7	ENSG00000185507	T244084_2.00	Homo_sapiens	IRF	F243_2.00	17
M02691_2.00	6	3	5.22	2.99	1.75	3.46	IRF2	ENSG00000168310	T244083_2.00	Homo_sapiens	IRF	F243_2.00	18
M03333_2.00	72	48	54.48	36.57	1.49	2.46	IRF5	ENSG00000128604	T244080_2.00	Homo_sapiens	IRF	F243_2.00	11
M02685_2.00	58	47	44.03	35.82	1.23	1.50	PBX1	ENSG00000185630	T209930_2.00	Homo_sapiens	Homeodomain	F223_2.00	12
M03330_2.00	13	11	10.45	8.96	1.17	1.44	HSF1	ENSG00000185122	T240228_2.00	Homo_sapiens	HSF	F238_2.00	13
M03326_2.00	94	85	70.90	64.18	1.10	1.25	HSFY2	ENSG00000169953	T240224_2.00	Homo_sapiens	HSF	F238_2.00	15
M02687_2.00	36	38	27.61	29.10	0.95	1.16	Lhx3	ENSMUSG00000026934	T212446_2.00	Mus_musculus	Homeodomain	F223_2.00	13
M03327_2.00	125	120	94.03	90.30	1.04	1.14	HSFY2	ENSG00000169953	T240224_2.00	Homo_sapiens	HSF	F238_2.00	9
M02680_2.00	65	66	49.25	50.00	0.99	1.12	FOXF2	ENSG00000137273	T185773_2.00	Homo_sapiens	Forkhead	F196_2.00	14
M02678_2.00	133	133	100.00	100.00	1.00	1.10	SPIB	ENSG00000269404	T176138_2.00	Homo_sapiens	Ets	F180_2.00	7
M02690_2.00	133	133	100.00	100.00	1.00	1.01	Pax2	ENSMUSG00000004231	T237405_2.00	Mus_musculus	Homeodomain,Paired box	F230_2.00	8
M02686_2.00	132	133	99.25	100.00	0.99	1.01	Nkx2-5	ENSMUSG00000015579	T212407_2.00	Mus_musculus	Homeodomain	F223_2.00	7
M02681_2.00	123	125	92.54	94.03	0.98	1.01	FOXD1	ENSG00000251493	T185806_2.00	Homo_sapiens	Forkhead	F196_2.00	8
M02688_2.00	131	133	98.51	100.00	0.99	0.95	Nobox	ENSMUSG00000029736	T212459_2.00	Mus_musculus	Homeodomain	F223_2.00	8
M02705_2.00	98	112	73.88	84.33	0.88	0.77	RORA	ENSG00000069667	T303208_2.00	Homo_sapiens	Nuclear receptor	F278_2.00	10
M02669_2.00	4	9	3.73	7.46	0.50	0.35	Znf423	ENSRNOG00000014658	T109003_2.00	Rattus_norvegicus	C2H2 ZF	F135_2.00	15
#Finished
